original_name,canonical_name,canonical_id
Stefano Ballerini,Stefano Ballerini,416
Flavio Frattini,Flavio Frattini,417
Chao Luo,Chao Luo,418
Danilo Oliveira,Danilo Oliveira,419
Pedro Dias,Pedro Dias,420
Bruno Silva,Bruno Silva,421
Antonio Bovenzi,Antonio Bovenzi,422
Felix Langner,Felix Langner,423
Matheus Melo,Matheus Melo,424
Carlos Araujo,Carlos Araujo,425
G. A. Gravvanis,G. A. Gravvanis,426
Su Li,Su Li,427
Qi Yong,Qi Yong,428
Enrico Barbierato,Enrico Barbierato,429
A. Bobbio,Andrea Bobbio,430
Andrea Bobbio,Andrea Bobbio,430
M. Gribaudo,Marco Gribaudo,431
Marco Gribaudo,Marco Gribaudo,431
Mauro Iacono,Mauro Iacono,432
Bruno Evangelista Costa,Bruno Evangelista Costa,433
Autran Macedo,Autran Macedo,434
Lei Cui,Lei Cui,435
Bo Li,Bo Li,436
Jianxin Li,Jianxin Li,437
James Hardy,James Hardy,438
Lu Liu,Lu Liu,439
Salvatore Orlando,Salvatore Orlando,440
Hao Ran Li,Hao Ran Li,441
Jun Guo,Jun Guo,442
Wei Yue Li,Wei Yue Li,443
Weiyue Li,Wei Yue Li,443
Bin Zhang,Bin Zhang,444
Yun Sheng Wang,Yun Sheng Wang,445
Yunsheng Wang,Yun Sheng Wang,445
S. Chiba,S. Chiba,446
Sudhanshu Shekhar Jha,Sudhanshu Shekhar Jha,447
Adrian Jonel Krdu,Adrian Jonel Krdu,448
Miroslaw Malek,Miroslaw Malek,449
Kazuya Yamakita,Kazuya Yamakita,450
Kenji Kono,Kenji Kono,451
Hai Hu,Hai Hu,452
Takeshi Yoshimura,Takeshi Yoshimura,453
Inigo Goiri,Inigo Goiri,454
Jordi Guitart,Jordi Guitart,455
Ricard Gavalda,Ricard Gavalda,456
Jordi Torres,Jordi Torres,457
Matthias Woehrle,Matthias Woehrle,458
Andreas Meier,Andreas Meier,459
Koen Langendoen,Koen Langendoen,460
G. Carrozza,G. Carrozza,461
A. Pecchia,A. Pecchia,462
F. Salfner,F. Salfner,463
Ying Ju,Ying Ju,464
Swaminathan Sundararaman,Swaminathan Sundararaman,465
Sriram Subramanian,Sriram Subramanian,466
Abhishek Rajimwale,Abhishek Rajimwale,467
Andrea C. Arpaci-Dusseau,Andrea C. Arpaci-Dusseau,468
Remzi H. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau,469
Michael M. Swift,Michael M. Swift,470
Xinya Song,Xinya Song,471
Letian Jiang,Letian Jiang,472
Xiangyu Peng,Xiangyu Peng,473
Guozhi Xu,Guozhi Xu,474
Wen-Bin Xu,Wen-Bin Xu,475
Robert S. Hanmer,Robert S. Hanmer,476
Veena B. Mendiratta,Veena B. Mendiratta,477
Xiaofeng Lei,Xiaofeng Lei,478
Kexian Xue,Kexian Xue,479
Arash Rezaei,Arash Rezaei,480
Mohsen Sharifi,Mohsen Sharifi,481
Allen P. Nikora,Allen P. Nikora,482
Josep Ll. Berral,Josep Ll. Berral,483
Tais B. Ferreira,Tais B. Ferreira,484
Marcio Ferreira Moreno,Marcio Ferreira Moreno,485
Luiz Fernando Gomes Soares,Luiz Fernando Gomes Soares,486
Joao Paulo Magalhaes,Joao Paulo Magalhaes,487
Luis Moura Silva,Luis Moura Silva,488
Luis Silva,Luis Moura Silva,488
Ibrahim Beicker,Ibrahim Beicker,489
Breno Leitao,Breno Leitao,490
XiaoYong Chen,XiaoYong Chen,491
Philipp Reinecke,Philipp Reinecke,492
May Tar Hla Myint,May Tar Hla Myint,493
Thandar Thein,Thandar Thein,494
Wei Xie,Wei Xie,495
Yiguang Hong,Yiguang Hong,496
Xiaozhi Du,Xiaozhi Du,497
Ying Chen,Ying Chen,498
Xiao Zhong,Xiao Zhong,499
Xiu-E Chen,Xiu-E Chen,500
Lei Zhao,Lei Zhao,501
Xin He,Xin He,502
Wei Wei,Wei Wei,503
Xiaolin Gui,Xiaolin Gui,504
Long Zhao,Long Zhao,505
QinBao Song,QinBao Song,506
Hitesh Shetty,Hitesh Shetty,507
Manoj Nambiar,Manoj Nambiar,508
Hemanta Kalita,Hemanta Kalita,509
Dazhi Wang,Dazhi Wang,510
Meng Haining,Meng Haining,511
Hou Di,Hou Di,512
Chen Ying,Chen Ying,513
Guenther A. Hoffmann,Guenther A. Hoffmann,514
Vinaitheerthan Sundaram,Vinaitheerthan Sundaram,515
Sandip HomChaudhuri,Sandip HomChaudhuri,516
S. Garg,Sachin Garg,517
Sachin Garg,Sachin Garg,517
C. Kintala,Chandra Kintala,518
Chandra Kintala,Chandra Kintala,518
Saurabh Bagchi,Saurabh Bagchi,519
Zhao Tianhai,Zhao Tianhai,520
Shen Junyi,Shen Junyi,521
Zheng Xiaomel,Zheng Xiaomel,522
Liu Liang,Liu Liang,523
Hiroyuki Eto,Hiroyuki Eto,524
KAZUKI IWAMOTO,KAZUKI IWAMOTO,525
N. Kaio,NAOTO KAIO,526
NAOTO KAIO,NAOTO KAIO,526
E.J. Weyuker,E.J. Weyuker,527
K. Vaidyanathan,Kalyanaraman Vaidyanathan,528
Kalyanaraman Vaidyanathan,Kalyanaraman Vaidyanathan,528
Henrique Madeira Luis Silva,Henrique Madeira Luis Silva,529
Paulo F. Filho,Paulo F. Filho,530
Y. Bao,Yujuan Bao,531
Yujuan Bao,Yujuan Bao,531
X. Sun,Xiaobai Sun,532
Xiaobai Sun,Xiaobai Sun,532
A.T. Tai,A.T. Tai,533
K.S. Tso,K.S. Tso,534
W.H. Sanders,W.H. Sanders,535
S.N. Chau,S.N. Chau,536
T. Danjou,TAKASHI DANJOU,537
TAKASHI DANJOU,TAKASHI DANJOU,537
SHUNJI OSAKI,SHUNJI OSAKI,538
Salma A. Ghoneim,Salma A. Ghoneim,539
Hossam M. A. Fahmy,Hossam M. A. Fahmy,540
M. Shereshevsky,M. Shereshevsky,541
J. Crowell,J. Crowell,542
B. Cukic,B. Cukic,543
V. Gandikota,V. Gandikota,544
Yan Liu,Yan Liu,545
H. Suzuki,H. Suzuki,546
Lei Li,Lei Li,547
K.J. Cassidy,K.J. Cassidy,548
K.C. Gross,K.C. Gross,549
A. Malekpour,A. Malekpour,550
Sungsoo Kim,Sungsoo Kim,551
D. Selvamuthu,D. Selvamuthu,552
Yun Liu,Yun Liu,553
Yue Ma,Yue Ma,554
J.J. Han,J.J. Han,555
H. Levendel,H. Levendel,556
S. Miyahara,S. Miyahara,557
R. E. Harper,Richard E. Harper,558
Richard E. Harper,Richard E. Harper,558
S. W. Hunter,Steven W. Hunter,559
Steven W. Hunter,Steven W. Hunter,559
C. Fetzer,C. Fetzer,560
K. Hogstedt,K. Hogstedt,561
M. Sereno,Matteo Sereno,562
Matteo Sereno,Matteo Sereno,562
Cosimo Anglano,Cosimo Anglano,563
W. Yurcik,W. Yurcik,564
D. Doss,D. Doss,565
V. Castelli,V. Castelli,566
P. Heidelberger,P. Heidelberger,567
W. P. Zeggert,W. P. Zeggert,568
A. Horvath,A. Horvath,569
M. Telek,M. Telek,570
A. van Moorsel,A. van Moorsel,571
L. Alkalaj,L. Alkalaj,572
H. Hecht,H. Hecht,573
Y. Huang,Yennun Huang,574
Yennun Huang,Yennun Huang,574
N. Kolettis,N. Kolettis,575
N.D. Fulton,N.D. Fulton,576
